CatchId,Stage,Number of Cells,SurfaceArea (m2),BedArea (m2),Volume (m3),SLOPE,LENGTHKM,AREASQKM,Roughness,TopWidth (m),WettedPerimeter (m),WetArea (m2),HydraulicRadius (m),Discharge (m3s-1)
3360406,17.9832,13255,33137500.0,33139418.7048,509463055.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,293977.527474,15.3733250318,0.0
3360406,18.288,13255,33137500.0,33139418.7048,519563365.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,299805.750209,15.6781073845,0.0
3360406,18.5928,13255,33137500.0,33139418.7048,529663675.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,305633.972944,15.9828897372,0.0
3360406,18.8976,13255,33137500.0,33139418.7048,539763985.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,311462.195679,16.2876720899,0.0
3360406,19.2024,13255,33137500.0,33139418.7048,549864295.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,317290.418415,16.5924544426,0.0
3360406,19.5072,13255,33137500.0,33139418.7048,559964605.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,323118.64115,16.8972367953,0.0
3360406,19.812,13255,33137500.0,33139418.7048,570064915.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,328946.863885,17.202019148,0.0
3360406,20.1168,13255,33137500.0,33139418.7048,580165225.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,334775.08662,17.5068015007,0.0
3360406,20.4216,13255,33137500.0,33139418.7048,590265535.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,340603.309355,17.8115838534,0.0
3360406,20.7264,13255,33137500.0,33139418.7048,600365845.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,346431.53209,18.1163662061,0.0
3360406,21.0312,13255,33137500.0,33139418.7048,610466155.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,352259.754825,18.4211485588,0.0
3360406,21.336,13255,33137500.0,33139418.7048,620566465.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,358087.977561,18.7259309115,0.0
3360406,21.6408,13255,33137500.0,33139418.7048,630666775.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,363916.200296,19.0307132642,0.0
3360406,21.9456,13255,33137500.0,33139418.7048,640767085.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,369744.423031,19.3354956169,0.0
3360406,22.2504,13255,33137500.0,33139418.7048,650867395.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,375572.645766,19.6402779696,0.0
3360406,22.5552,13255,33137500.0,33139418.7048,660967705.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,381400.868501,19.9450603223,0.0
3360406,22.86,13255,33137500.0,33139418.7048,671068015.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,387229.091236,20.249842675,0.0
3360406,23.1648,13255,33137500.0,33139418.7048,681168325.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,393057.313971,20.5546250277,0.0
3360406,23.4696,13255,33137500.0,33139418.7048,691268635.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,398885.536707,20.8594073804,0.0
3360406,23.7744,13255,33137500.0,33139418.7048,701368945.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,404713.759442,21.1641897331,0.0
3360406,24.0792,13255,33137500.0,33139418.7048,711469255.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,410541.982177,21.4689720858,0.0
3360406,24.384,13255,33137500.0,33139418.7048,721569565.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,416370.204912,21.7737544385,0.0
3360406,24.6888,13255,33137500.0,33139418.7048,731669875.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,422198.427647,22.0785367912,0.0
3360406,24.9936,13255,33137500.0,33139418.7048,741770185.112,0.0,1.733,0.3294,0.05,19121.4656665,19122.5728245,428026.650382,22.3833191439,0.0
3360050,0.0,0,0.0,0.0,0.0,1e-05,0.479,0.0135,0.05,0.0,0.0,0.0,0.0,0.0
3360050,0.3048,3,7500.0,7500.0,75.999992,1e-05,0.479,0.0135,0.05,15.6576200418,15.6576200418,0.158663866388,0.0101333322667,0.000469904442551
3360050,0.6096,7,17500.0,17500.047386,4017.999934,1e-05,0.479,0.0135,0.05,36.5344467641,36.534545691,8.38830883925,0.229599374526,0.198922942431
3360050,0.9144,12,30000.0,30000.516772,11244.49994,1e-05,0.479,0.0135,0.05,62.630480167,62.631559023,23.4749476827,0.374810208286,0.771807336628
3360050,1.2192,12,30000.0,30000.516772,20388.49994,1e-05,0.479,0.0135,0.05,62.630480167,62.631559023,42.5647180376,0.679604957973,2.08089794923
3360050,1.524,12,30000.0,30000.516772,29532.49994,1e-05,0.479,0.0135,0.05,62.630480167,62.631559023,61.6544883925,0.98439970766,3.85871181396
